Rank,Name,Rating/Score
1,Sousou no Frieren,9.29
2,Chainsaw Man Movie: Reze-hen,9.18
3,Fullmetal Alchemist: Brotherhood,9.10
4,Steins;Gate,9.07
5,Kingdom 6th Season,9.06
6,Shingeki no Kyojin Season 3 Part 2,9.05
7,Gintama: The Final,9.05
8,Gintama°,9.05
9,Hunter x Hunter (2011),9.03
10,Ginga Eiyuu Densetsu,9.02
11,Gintama',9.02
12,Gintama': Enchousen,9.02
13,One Piece Fan Letter,9.02
14,Bleach: Sennen Kessen-hen,8.99
15,Gintama.,8.98
16,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.96
17,Fruits Basket: The Final,8.94
18,Clannad: After Story,8.93
19,Gintama,8.93
20,Koe no Katachi,8.93
21,Kusuriya no Hitorigoto 2nd Season,8.91
22,Code Geass: Hangyaku no Lelouch R2,8.91
23,3-gatsu no Lion 2nd Season,8.90
24,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.89
25,Monster,8.89
26,Boku no Hero Academia: Final Season,8.88
27,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88
28,Kusuriya no Hitorigoto,8.86
29,Owarimonogatari 2nd Season,8.86
30,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86
31,Violet Evergarden Movie,8.84
32,Kingdom 3rd Season,8.84
33,Kimi no Na wa.,8.83
34,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83
35,Vinland Saga Season 2,8.82
36,Gintama. Shirogane no Tamashii-hen,8.81
37,Takopii no Genzai,8.79
38,Shingeki no Kyojin: The Final Season,8.78
39,Hajime no Ippo,8.78
40,Kizumonogatari III: Reiketsu-hen,8.78
41,Mob Psycho 100 II,8.78
42,Sen to Chihiro no Kamikakushi,8.77
43,Shingeki no Kyojin: The Final Season Part 2,8.77
44,Vinland Saga,8.77
45,Ashita no Joe 2,8.77
46,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77
47,Monogatari Series: Second Season,8.76
48,Cowboy Bebop,8.75
49,Bocchi the Rock!,8.74
50,Kingdom 4th Season,8.73
